account,date,url,tickers,numbers,signal,signal_p,direction,direction_p,has_numbers,conviction,text
sunxliao,2026-09-18T19:25:46.000Z,https://x.com/sunxliao/status/2101029937373479047,$ASST $BTC $CYPH $ZCSH $ZEC,,momentum_bar_level,0.97,bullish,1.0,0.05,2.03,"$CYPH  what if we just go higher... 🫡🔷  MAJOR breach of weekly silver resistance.  It can continue running even if  $ZEC  and  $ZCSH  takes a breather IMO, similar to  $ASST  running while  $BTC  chops. $CYPH is going to pull a move similar to $ASST IMO... must have a strong heart but those who embrace volatility will make it.  And congrats to everyone who listened!  Still bullish on both tickers BTW. Early.  x.com/sunxliao/statu…"
sunxliao,2026-09-18T15:28:31.000Z,https://x.com/sunxliao/status/2100970229610516536,$ASST $CYPH,,none,0.99,bullish,1.0,0.03,1.99,They will talk about this  $CYPH  and  $ASST  rally in the history books... 🔥🔥🔥 $CYPH is going to pull a move similar to $ASST IMO... must have a strong heart but those who embrace volatility will make it.  And congrats to everyone who listened!  Still bullish on both tickers BTW. Early.  x.com/sunxliao/statu…
sunxliao,2026-09-17T15:34:12.000Z,https://x.com/sunxliao/status/2100609270664626325,$ABCL $ASST $BFLY $BTC $BWET $CMPS $CYPH $IBIT $PURR $ZCSH $ZEC,$19.73 $28.93 47 $436.95 $786.23 80 $67.17 $112.80 68 $856.44 $1405 64,none,0.47,bullish,1.0,0.95,1.82,"I'm personally not ignoring the CYPH/ZECUSD ratio breaking out, similar to ASST/BTCUSD setup a few weeks ago. 🫡   $CYPH  and  $ZCSH , best  $ZEC  tickers   $ASST  and  $IBIT , best  $BTC  tickers CRAZY last few days... happy for followers who made BANK from my free ideas!  $ASST at $19.73, now $28.93... up 47% $BWET at $436.95, now $786.23... up 80% $ZCSH at $67.17, now $112.80... up 68% $ZEC at $856.44, now $1405... up 64%  And more $ABCL $BFLY $CMPS $PURR  Started x.com/sunxliao/statu…"
sunxliao,2026-09-17T15:09:27.000Z,https://x.com/sunxliao/status/2100603042639028513,$ABCL $ASST $BFLY $BWET $CMPS $PURR $ZCSH $ZEC,$19.73 $28.93 47 $436.95 $786.23 80 $67.17 $112.80 68 $856.44 $1405 64,blue_diamond,0.47,bullish,0.96,0.95,2.42,"$ABCL  never ignore pristine blue diamonds... will keep calling them out! CRAZY last few days... happy for followers who made BANK from my free ideas!  $ASST at $19.73, now $28.93... up 47% $BWET at $436.95, now $786.23... up 80% $ZCSH at $67.17, now $112.80... up 68% $ZEC at $856.44, now $1405... up 64%  And more $ABCL $BFLY $CMPS $PURR  Started x.com/sunxliao/statu…"
sunxliao,2026-09-17T15:04:40.000Z,https://x.com/sunxliao/status/2100601837774950878,$ABCL $ASST $BFLY $BWET $CMPS $CYPH $PURR $ZCSH $ZEC,$19.73 $28.93 47 $436.95 $786.23 80 $67.17 $112.80 68 $856.44 $1405 64,none,0.97,bullish,0.91,0.95,1.2,"$CYPH  reminds me of  $ASST  a few weeks ago... for those who like rollercoasters! CRAZY last few days... happy for followers who made BANK from my free ideas!  $ASST at $19.73, now $28.93... up 47% $BWET at $436.95, now $786.23... up 80% $ZCSH at $67.17, now $112.80... up 68% $ZEC at $856.44, now $1405... up 64%  And more $ABCL $BFLY $CMPS $PURR  Started x.com/sunxliao/statu…"
sunxliao,2026-09-17T14:21:47.000Z,https://x.com/sunxliao/status/2100591045704818768,$ABCL $ASST $BFLY $BWET $CMPS $PURR $ZCSH $ZEC,$19.73 $28.93 47 $436.95 $786.23 80 $67.17 $112.80 68 $856.44 $1405 64,none,0.84,bullish,1.0,0.93,2.01,"CRAZY last few days... happy for followers who made BANK from my free ideas!   $ASST  at $19.73, now $28.93... up 47%  $BWET  at $436.95, now $786.23... up 80%  $ZCSH  at $67.17, now $112.80... up 68%  $ZEC  at $856.44, now $1405... up 64%  And more  $ABCL   $BFLY   $CMPS   $PURR   Started Think $ZCSH and $ZEC will surprise a lot of people this cycle... insane strength. 🔷  x.com/sunxliao/statu…"
sunxliao,2026-09-17T13:57:11.000Z,https://x.com/sunxliao/status/2100584856757719345,$CYPH $ZCSH $ZEC,$2 3,momentum_bar_level,0.85,bullish,0.86,0.89,0.86,"Riskier than  $ZCSH , but CYPH/ZECUSD ratio trying to break out... would continue watching  $CYPH  here in $2-3 range. For those that like $ZCSH, the only $ZEC treasury stock is $CYPH. Good read. 👍  I believe it's Winklevoss-backed too. x.com/connorking/sta…"
dannycheng2022,2026-09-19T11:16:02.000Z,https://x.com/dannycheng2022/status/2101269079378350539,,10 15,volatility_hole,0.94,bullish,1.0,0.08,2.28,"The previous all time high, followed by a 10-15 percent surge if the upper boundary of the Weekly Volatility Hole is cleared."
dannycheng2022,2026-09-19T03:31:10.000Z,https://x.com/dannycheng2022/status/2101152092010565909,,19 2026 3 5,none,1.0,bearish,0.34,0.4,2.24,"Concentrate. Size Up in a Few Stocks. Ignore the Noise. (September 19, 2026)  Most retail investors drown in noise. I didn’t. I concentrated in 3-5 stocks, sized up when it mattered, and ignored the rest. That is how I made millions in each of them.  First, I bet against the"
dannycheng2022,2026-09-18T08:50:44.000Z,https://x.com/dannycheng2022/status/2100870122940600628,$TEM,18 2026 1 $40 $48.40 $52.50,volatility_hole,0.44,bullish,0.96,0.98,1.21,"$TEM  (September 18, 2026-Daily Chart)  The volatility hole, together with the descending blue ribbon in panel 1, marked the recent bottom at $40. From there  $TEM  began to rebuild momentum, even though price action stayed choppy.  Clears of the momentum bars at $48.40, $52.50, and"
dannycheng2022,2026-09-18T06:55:13.000Z,https://x.com/dannycheng2022/status/2100841054098333989,$DELL,18 2026 0 $600 1 1 2 3 $250 $260 3 2022,volatility_hole,0.82,bullish,1.0,0.97,3.0,"$DELL  (September 18, 2026-Daily Chart0  First target: $600 — coming soon.  Follow the buy signals highlighted in Panel 1 and stay with the move through the volatility.  Buy when: 1. Price breaks out of a volatility hole   2. You see a bullish red candle   3. A critical momentum $DELL is one of my lucky names. Bought the $250–$260 range. Doubled in four months. Shared it with Tier 3 before.  On the daily chart, every breakout from the volatility hole has been a clean buy and accumulation signal "
dannycheng2022,2026-09-18T03:40:59.000Z,https://x.com/dannycheng2022/status/2100792172442521869,$IBIT,18 2026,volatility_hole,0.85,neutral,0.99,0.91,0.0,"$IBIT  (September 18, 2026-Daily Chart)  Can  $IBIT  survive the last volatility hole and start another leg up — or will it go the other way?"
dannycheng2022,2026-09-17T01:50:48.000Z,https://x.com/dannycheng2022/status/2100402056414765186,$TSLA,17 2026 1 17.97 3,volatility_hole,0.99,bullish,1.0,0.91,1.27,"$TSLA  (September 17, 2026-Daily Chart)  Trend Analysis: The last volatility hole marked the recent bottom in panel 1, and momentum has been building since then. That shift is visible in whale accumulation, which has steadily risen and now sits at 17.97% in panel 3.  The daily"
dannycheng2022,2026-09-16T03:50:13.000Z,https://x.com/dannycheng2022/status/2100069719827222760,$ADBE,16 2026 $245 $249 $266 $275 11 2026,volatility_hole,0.94,bullish,0.79,0.98,1.69,"$ADBE  (September 16, 2026-Daily Chart)  The last volatility hole marked the completion of the cycle bottom, and momentum has built since then. The stock is in a pullback now. The momentum bars at $245–$249 should act as support. Near-term resistance is at $266 and $275. MUST-READ: The Proprietary Indicator which Printed Millions in My Top Core Stocks (September 11, 2026)  How to time a bottom with a Volatility Hole + descending blue ribbon in a downtrend?  This is not a “buy the exact tick” met"
dannycheng2022,2026-09-16T03:45:21.000Z,https://x.com/dannycheng2022/status/2100068495031763143,$CLSK,16 2026 3 16.9,volatility_hole,0.99,bearish,1.0,0.92,1.48,"$CLSK  (September 16, 2026-Daily Chart)  The last volatility hole marked the recent top. Since then,  $CLSK  has been making lower highs and lower lows. The gradual drop in whale accumulation in panel 3, now at 16.9%, explains the lack of price momentum."
dannycheng2022,2026-09-15T12:22:37.000Z,https://x.com/dannycheng2022/status/2099836281731879203,$IWM,15 2026 01,volatility_hole,0.99,neutral,0.59,0.89,0.21,"$IWM  (September 15, 2026-Daily Chart)  Does the recent Volatility Hole give us a ray of hope?   @cantonmeow    @chad_ventures    @redfoxryder    @HeidingOut    @StockPatternPro    @Jimmy_tesla_01"
dannycheng2022,2026-09-15T04:37:02.000Z,https://x.com/dannycheng2022/status/2099719115837677830,$OSCR,15 2026 2025 24 2026 $13 $18 2022,volatility_hole,0.98,bullish,1.0,0.97,2.31,"$OSCR  (September 15, 2026-Daily Chart)  Each breakout from each volatility hole served as a reliable buy signal, as it triggered a subsequent surge.  $OSCR  is one of the core stocks I have highlighted since 2025.   During the drawdown, most lost confidence and unsubscribed. If you $OSCR (June 24, 2026-daily chart update)  $OSCR has been one of the easiest stocks I’ve ever bought and held with conviction. From $13 to $18, I repeatedly shared multiple buy orders with my community as whales provi"
dannycheng2022,2026-09-15T02:30:09.000Z,https://x.com/dannycheng2022/status/2099687183796085024,$CRM,15 2026 $267.90 27 2026 2022,volatility_hole,1.0,bullish,0.97,0.98,1.26,"$CRM  (September 15, 2026-Daily Chart)  Can  $CRM  break above the upper boundary of the volatility hole at $267.90 and start another leg up? $CRM (August 27, 2026-Monthly Chart)  A Freebie for All!  My last tweet  (repost) about the volatility hole for $CRM successfully marked the bottom. If you missed it, it’s never too late. The monthly chart with the volatility hole still in force is another signal you shouldn’t  x.com/dannycheng2022…"
sunxliao,2026-01-09T15:34:41.000Z,https://x.com/sunxliao/status/2009650039900221536,,,,,,0,,,Space theme ripping a hole in the sky.  I think most are still undervalued. 📈 I continue to think the SpaceX IPO will lift all boats and create insane opportunities. 🫡  x.com/sunxliao/statu…
dannycheng2022,2026-09-19T04:56:05.000Z,https://x.com/dannycheng2022/status/2101173460106092750,,19 2026 3 90 5 8,none,1.0,neutral,0.76,0.42,2.23,"Concentration Beats Noise on X (September 19, 2026)  In a multi-million portfolio, I openly share my top 3 core stocks on X. Those three positions make up more than 90% of my holdings. With my community, I share my top 5 to top 8.  I learned to concentrate through experience and"
dannycheng2022,2026-09-17T12:24:00.000Z,https://x.com/dannycheng2022/status/2100561405506371936,,10 100,none,1.0,neutral,0.95,0.02,0.85,"Most people like small stocks for two simple reasons: you don’t need much money to start, and they carry the same lottery-ticket dream as crypto—maybe this one does 10x or 100x.   That dream is not impossible, but it is rare. Very few small names actually deliver those returns."
dannycheng2022,2026-09-13T08:18:21.000Z,https://x.com/dannycheng2022/status/2099050034881044597,$MNRA $MRNA,13 2026 $161 $128,volatility_hole,1.0,neutral,0.91,0.98,0.05,"$MRNA  (September 13, 2026-Daily Chart)  The last volatility hole is still in force, with an upper boundary at $161 and a lower boundary at $128. A close above the upper boundary of the volatility hole would likely trigger a surge, and vice versa. Let’s see if $MNRA can survive"
dannycheng2022,2026-09-13T06:39:11.000Z,https://x.com/dannycheng2022/status/2099025077228781741,,13 2026,none,1.0,neutral,1.0,0.18,2.01,"Invest Like an Owner, Not a Tourist (September 13, 2026)  A durable investing edge starts with mindset. The goal is long-term ownership, not constant activity. Trading in and out does not guarantee better returns; it often just creates busyness with little to show for it. The"
dannycheng2022,2026-09-11T02:08:53.000Z,https://x.com/dannycheng2022/status/2098232280808563034,,11 2026,volatility_hole,0.88,bullish,0.9,0.34,1.67,"MUST-READ: The Proprietary Indicator which Printed Millions in My Top Core Stocks (September 11, 2026)  How to time a bottom with a Volatility Hole + descending blue ribbon in a downtrend?  This is not a “buy the exact tick” method. It is a process. On a daily chart it can take"
dannycheng2022,2026-09-09T15:10:55.000Z,https://x.com/dannycheng2022/status/2097704307420471516,$DELL,$250 $260 3 3 22 $257 $259 2022,volatility_hole,0.91,bullish,1.0,0.97,2.3,"$DELL  is one of my lucky names. Bought the $250–$260 range. Doubled in four months. Shared it with Tier 3 before.  On the daily chart, every breakout from the volatility hole has been a clean buy and accumulation signal because the surge usually follows.  Learn to read my signal. I shared my buy signal for $DELL with the Tier 3 community in premarket on May 22 and successfully entered in the $257–$259 range. People often ask me why I bought in premarket. The reason is simple: when my two propri"
dannycheng2022,2026-09-08T03:08:06.000Z,https://x.com/dannycheng2022/status/2097160018428875134,$IBRX,8 2026 $10.5 $6.08,volatility_hole,0.99,neutral,0.95,0.98,0.06,"$IBRX  (September 8, 2026-Weekly Chart)   $IBRX  remains trapped inside the last volatility hole, bounded by $10.5 on the upside and $6.08 on the downside. A close above the upper boundary would likely trigger a surge; a break below the lower boundary would result in a plummet."
dannycheng2022,2026-09-08T03:02:31.000Z,https://x.com/dannycheng2022/status/2097158612628259043,$PURR,8 2026 $13.47 $11.16,volatility_hole,1.0,neutral,0.35,0.98,0.33,"$PURR  (September 8, 2026-Daily Chart)  The last volatility hole remains in force, with the upper boundary at $13.47 and the lower boundary at $11.16.  A consistent close above the upper boundary would likely trigger another leg higher or a fresh surge while a close below the"
dannycheng2022,2026-09-06T05:28:26.000Z,https://x.com/dannycheng2022/status/2096470560012451890,$DELL,6 2026 $166 3 22 $257 $259 2022,volatility_hole,0.99,bullish,1.0,0.98,2.34,"$DELL  (September 6, 2026-Weekly Chart)   $DELL  is another clean example of how a break above the upper boundary of a volatility hole often triggers the next surge. The first upper boundary sat at $166. Once price cleared that level to the upside, the move expanded all the way to I shared my buy signal for $DELL with the Tier 3 community in premarket on May 22 and successfully entered in the $257–$259 range. People often ask me why I bought in premarket. The reason is simple: when my two propri"
dannycheng2022,2026-09-06T04:32:55.000Z,https://x.com/dannycheng2022/status/2096456588580315536,$OSCR,6 2026 $11 $23 1,momentum_bar_level,0.53,bullish,0.89,0.97,0.65,"$OSCR  (September 6, 2026-Weekly Chart)   $OSCR  spent two years consolidating inside the white box on the weekly chart, holding support in the $11 range and testing resistance near $23 four times with no clear direction. That changed with the highlighted breakout candle in panel 1,"
dannycheng2022,2026-09-04T02:42:26.000Z,https://x.com/dannycheng2022/status/2095704008157774081,$IBIT,4 2026,volatility_hole,0.94,bullish,0.62,0.9,0.61,"$IBIT  (September 4, 2026-Daily Chart)  A Freebie for All!  The last volatility hole marked the early bottoming stage, followed by choppy sideways consolidation. Once the breakout hit as the bullish red ribbon appeared, the surge followed. Now let’s see whether  $IBIT  can survive"
dannycheng2022,2026-05-06T03:01:57.000Z,https://x.com/dannycheng2022/status/2051859987979538926,,,,,,0,,,"Diamond Rolex, por favor 🙏"
dannycheng2022,2024-09-23T14:42:47.000Z,https://x.com/dannycheng2022/status/1838227517234401608,,,,,,0,,,The majority are patiently waiting for the dd (diamond dip).
dannycheng2022,2024-07-04T09:31:36.000Z,https://x.com/dannycheng2022/status/1808795788195107006,$TSLA,18086 86123 54961 0012,none,0.91,bullish,0.36,0.06,0.25,Will  $TSLA  give us a diamond? Let’s find out more abut how whales create the trend for us retail to jump in on daily to weekly charts!  https:// x.com/openskiesx/sta /openskiesx/status/1808686123549610012 …
dannycheng2022,2023-12-08T02:56:55.000Z,https://x.com/dannycheng2022/status/1732957398535745595,,,,,,0,,,Garbage is always garbage while diamond will outshine others always.
dannycheng2022,2026-05-27T03:20:44.000Z,https://x.com/dannycheng2022/status/2059474858963275791,$BB,27 2026 $4.5 $5.5 40 000,none,0.78,bearish,0.1,0.97,2.01,"$BB  (May 27, 2026-daily chart)  True diamond hands are extremely rare!  I want to sincerely apologize for recommending  $BB  in the $4.5–$5.5 range to the community. I backed up my conviction by buying 40,000 shares myself in that range. Unfortunately, the stock pulled back sharply"
sunxliao,2026-09-15T23:58:00.000Z,https://x.com/sunxliao/status/2100011282925846856,$ABCL $ARKG $BFLY,1 2 2 4,blue_diamond,1.0,bullish,0.96,0.09,1.14,"$ABCL  pristine blue diamond (1D) setup... last 2 times led to approx 2X rally. 🔷  Will be interesting to watch... 🍿 A lot of biotech tickers getting triple blue diamonds (4H) after a deep correction...  $ARKG (theme ETF) should confirm this before the weekend, with a durable reclaim of our Startup gold zone.  Would start watching $ABCL $BFLY and several others I'll chart soon. 🧬🫡"
sunxliao,2026-09-15T22:59:48.000Z,https://x.com/sunxliao/status/2099996634734371186,$ASST $BTC $IBIT $ZCSH $ZEC,4 4 5 1 2,blue_diamond,0.53,bullish,1.0,0.05,2.9,"A quick  $BTC  capitulation will create the ideal conditions for a second monthly blue diamond appearing IMO. 🔷🫡  The market might be giving us the final opportunity to top off our Q4 DCA, before the cycle really gets going.   $ASST   $IBIT   $ZCSH   $ZEC  the shopping list is absolutely Pay attention to Bitcoin $BTC $IBIT  Simple 4-5X over the next 1-2 years IMO... life changing gains are possible ONLY if timing the ""big buy"" properly.  Keep checking back here... 🫡  x.com/sunxliao/statu…"
sunxliao,2026-09-15T14:21:00.000Z,https://x.com/sunxliao/status/2099866076368818226,$BWET,4 2 8,pink_diamond,0.91,bullish,0.97,0.06,1.53,$BWET  finally seeing the first pink diamond on the 4H timeframe... could get a healthy gold support retest... congrats to all  Still up almost 2X since the blue diamond.  Will keep updating as usual. 🫡 $BWET up another 8% to new all time highs and now going blue sky... 😅  Blue diamonds don't expire until the next pink diamond... very simple. 🔷📈  x.com/sunxliao/statu…
sunxliao,2026-09-15T14:08:52.000Z,https://x.com/sunxliao/status/2099863023133524053,$BFLY,20,blue_diamond,1.0,neutral,0.05,0.13,0.34,"$BFLY  down over 20% since the Startup white diamond, but I noticed the first blue diamond in almost a month.  Will update if I see another one! 🔷🫡"
sunxliao,2026-09-14T14:50:43.000Z,https://x.com/sunxliao/status/2099511166901145946,$AAOI $AEHR $AMD $AXTI $BE $CIFR $INTC $IREN $KEEL $MU,2 $79 $80 $452 $47 $204 $12 $88 $38 $2,blue_diamond,0.91,bullish,0.99,0.96,1.96,"Wouldn't want to miss the next  $CIFR  weekly blue diamond... last one gave it almost 2X... will be watching closely. 🔷 The future is on sale... pay attention!  My ""don't think just buy"" high timeframe zones, via our Startup indicator suite:  $AAOI around $79 $AEHR around $80 $AMD around $452 $AXTI around $47 $BE around $204 $CIFR around $12 $INTC around $88 $IREN around $38 $KEEL around $2 $MU"
sunxliao,2026-09-14T12:28:13.000Z,https://x.com/sunxliao/status/2099475303932584245,$DFTX,,blue_diamond,0.99,bullish,0.94,0.03,1.6,$DFTX  pink diamonds played out and I'm seeing the first blue diamond... 🔷🫡  Lots of biotech tickers got VERY healthy corrections and look bullish to me now.  Don't forget that AI doesn't have to be the only trade... tons of other themes.
sunxliao,2026-09-14T00:22:17.000Z,https://x.com/sunxliao/status/2099292615288258690,$ASST $BTC $IBIT,122,blue_diamond,0.3,bullish,1.0,0.14,1.68,"$ASST  will update if I see a pink diamond this week... would just mean a retest of the gold zone (buying opportunity IMO).  Gotta notice the strength last week... dips will be shallow at best, most likely.  Want to buy  $BTC  and  $IBIT  dips too. $ASST is now up over 122% in a few weeks since our Startup blue diamond came in... it also perfectly respected the silver level I highlighted.  If this gets a pink diamond in the coming days, I think it would be a very good buying opportunity.  Will u"
sunxliao,2026-09-11T16:51:41.000Z,https://x.com/sunxliao/status/2098454444841324993,$ASST $BTC $IBIT,,blue_diamond,0.99,bullish,0.98,0.06,1.49,$ASST  invalidated triangle and still has the blue diamond from wayyy lower... 🔥 Notice the $ASST strength on a day like today... seems to be hinting that the $BTC and $IBIT correction is almost over IMO.  x.com/sunxliao/statu…
sunxliao,2026-09-11T15:12:59.000Z,https://x.com/sunxliao/status/2098429603979329984,$KEEL,3,blue_diamond,0.98,bullish,0.99,0.05,0.96,"Not enough people paying attention to  $KEEL  right now... last weekly blue diamond gave it a ~3X rally, think we could possibly get one soon again... 🔷  Will keep monitoring the neocloud recovery."
